title,country,release_year,genre,description,Streaming Service
Planes,United States,2013,"Action-Adventure, Animation, Comedy",A crop duster takes on the world’s fastest in the greatest air race ever.,Disney
Planes: Fire & Rescue,United States,2014,"Action-Adventure, Animation, Comedy",Air racer Dusty teams up with a dynamic crew of flying firefighters.,Disney
The Real Right Stuff,United States,2020,"Documentary, Historical",The Real Right Stuff tells the story of the nation’s first astronauts.,Disney
LEGO Star Wars Holiday Special,United States,2020,"Action-Adventure, Animation, Comedy","On the festive Life Day, Rey and BB-8 embark on an epic adventure across Star Wars history.",Disney
Home Alone,United States,1990,"Comedy, Family","When Kevin is home while his family goes on a Christmas trip, he must defend his home from burglars.",Disney
Home Alone 2: Lost in New York,United States,1992,"Comedy, Family",Kevin is home alone in NYC but won't be for long since the Wet Bandits are also in the Big Apple.,Disney
Home Alone 3,United States,1997,"Comedy, Family","A gang of criminals come up against 8 year-old Alex Pruitt, who is home alone with the chicken pox.",Disney
Petra: Secrets of the Ancient Builders,United Arab Emirates,2019,"Documentary, Historical","Discover the technical prowess behind Petra, a wonder in the middle of the desert.",Disney
Disney's A Christmas Carol,United States,2009,"Animation, Fantasy",Three ghosts take Ebenezer Scrooge on an eye-opening journey.,Disney
Mr. Magoo,United States,1997,"Action-Adventure, Comedy, Crime",Clueless Mr. Magoo sets out to get back a stolen precious gem.,Disney
Prep & Landing,United States,2009,"Animation, Family, Fantasy",An elite elf unit ensures homes around the world are prepared for Santa.,Disney
Prep & Landing: Naughty vs. Nice,United States,2011,"Animation, Family, Fantasy",Wayne and Lanny race to save Christmas!,Disney
Disney Channel Halloween House Party,United States,2020,"Comedy, Variety","Disney Channel Stars celebrate Halloween in a sketch comedy special with tricks, treats, and more!",Disney
The Sorcerer's Apprentice,United States,2010,"Action-Adventure, Fantasy",A modern-day sorcerer must make his seemingly average recruit into the ultimate apprentice.,Disney
Once Upon a Snowman,United States,2020,"Animation, Comedy, Coming of Age",This new short film follows Olaf’s first steps as he comes to life and searches for his identity.,Disney
Pompeii: Secrets Of The Dead,United States,2019,"Documentary, Historical",Forensic experts scan Pompeii’s victims to investigate why they didn’t escape the eruption.,Disney
Toy Story of Terror!,United States,2013,"Animation, Comedy, Family",Join the Toy Story gang in a frighteningly fun animated adventure.,Disney
Beverly Hills Chihuahua,"United States, Mexico",2008,"Action-Adventure, Comedy, Family","Papi has to rescue his true love, Chloe, when she gets lost in Mexico.",Disney
Clouds,United States,2020,"Biographical, Drama, Music",A young musician with months to live turns to music to make the most of the time he has left.,Disney
Lost on Everest,United States,2020,"Animals & Nature, Documentary, Survival",The quest to reveal what happened to the explorers who first set out to summit Mt. Everest.,Disney
Marvel's Iron Man & Captain America: Heroes United,United States,2014,"Action-Adventure, Animation, Science Fiction",Iron Man and Captain America battle the Red Skull and Taskmaster.,Disney
